Airdate,Animation,Animation Supervisor,Copyright year,Creative,Episode №,Guest(s),Line Producer,Main,Next,Previous,Production code,Running time,Season №,Sister episode(s),Storyboard,Storyboard Artist(s),Supervising,Supervising Producer(s),Technical,U.S. premiere time (ET),U.S. viewers (millions),Writer(s),characters,title
"August 14, 1999",Tom Yasumi,,1999,Derek Drymon,5b,,,,"""Mermaid Man and Barnacle Boy""","""Pizza Delivery""",2515-124,"10 minutes, 47 seconds",1,"""Pizza Delivery""","Ennio Torresan, Jr.",Erik Wiese,,,,10:15 am,2.47,"['Ennio Torresan, Jr.', 'Erik Wiese', 'Doug Lawrence']","Nematodes, Gary the Snail, SpongeBob SquarePants, Squidward Tentacles, Patrick Star, Harold SquarePants, Margaret SquarePants, Herb Star, Sea urchins, Shelley, Incidentals, Fred",Home Sweet Pineapple
"August 21, 1999",Sean Dempsey,,1999,Derek Drymon,6a,"['Ernest Borgnine as Mermaid Man', 'Tim Conway as Barnacle Boy', 'Don Newhouse as old sailor']",,,"""Pickles""","""Home Sweet Pineapple""",2515-119,"10 minutes, 50 seconds",1,"""Pickles""",Paul Tibbitt,Mark O'Hare,,,,10:00 am,2.94,"['Paul Tibbitt', ""Mark O'Hare"", 'Doug Lawrence']","Baby fish, Barnacle Boy, Clam Head Candy Cad, King Neptune, Man Ray, Mermaid Man, Patrick Star, Orderly, Sea urchins, SpongeBob SquarePants, Squidward Tentacles, Old sailor, The chief, Realistic Fish Head, Jellyfish, Incidentals, Incidental 80, Incidental 81, Incidental 81B, Incidental 82, Old Man Walker, Incidental 83B, Mable, Incidental 85, Old Man Jenkins, Mary, Incidental 88, Incidental 88C, Incidental 89, Incidental 90, Incidental 91, Incidental 92, Incidental 92B, Incidental 93, Victoria Ellen, Cafeteria lady 1, Cafeteria lady 2",Mermaid Man and Barnacle Boy
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,"""Hall Monitor""","""Mermaid Man and Barnacle Boy""",2515-111,"10 minutes, 50 seconds",1,"""Mermaid Man and Barnacle Boy""",Steve Fonti,"['Chris Mitchell', 'Jay Lender']",,,,10:15 am,2.94,"['Steve Fonti', 'Chris Mitchell', 'Peter Burns']","SpongeBob SquarePants, Squidward Tentacles, Bubble Bass, Eugene H. Krabs, Gary the Snail, Incidentals, Troutenheimer, Incidental 2, Incidental 3, Steven, John, Tom, Incidental 7, Incidental 8, Incidental 9, Incidental 10, Priscilla, Incidental 13, Incidental 14, Incidental 15, Incidental 17, Incidental 18, Incidental 20, Incidental 21, Carol, Incidental 25, Incidental 27, Incidental 30, Incidental 31, Incidental 35, Harold, Incidental 42, Judy, Sadie, Incidental 48, Incidental 49, Incidental 60, Incidental 61, Incidental 62, Incidental 63, Incidental 64, Billy, Incidental 67, Incidental 68, Incidental 69, Incidental 70, Incidental 71, Harris",Pickles
"August 28, 1999",Edgar Larrazábal,,1999,Derek Drymon,7a,,,,"""Jellyfish Jam""","""Pickles""",2515-108,"10 minutes, 50 seconds",1,"""Jellyfish Jam""",Chuck Klein,Jay Lender,,,,10:00 am,3.08,"['Chuck Klein', 'Jay Lender', 'Doug Lawrence']","French Narrator, SpongeBob SquarePants, Mrs. Puff, Patrick Star, Mailman, Motorist, Incidentals, Fred, Incidental 3, Steven, Tom, Incidental 8, Incidental 9, Incidental 10, Priscilla, Incidental 13, Incidental 27, Incidental 28, Incidental 31, Harold, Tuck Tucker, Harold, Incidental 46, ""Cop"" incidentals, Cop 1, Cop 2, Cop 3, Cop 4, Bill, Bill",Hall Monitor
"August 28, 1999",Fred Miller,,1999,Derek Drymon,7b,,,,"""Sandy's Rocket""","""Hall Monitor""",2515-118,"10 minutes, 49 seconds",1,"""Hall Monitor""","Ennio Torresan, Jr.",Erik Wiese,,,,10:15 am,3.08,"['Ennio Torresan, Jr.', 'Erik Wiese', 'Peter Burns']","French Narrator, Jellyfish, jellyfish, SpongeBob SquarePants, Squidward Tentacles, Patrick Star, Gary the Snail, Live-action dolphins, Singing scallops",Jellyfish Jam
"September 17, 1999",Tom Yasumi,,1999,Derek Drymon,8a,,,,"""Squeaky Boots""","""Jellyfish Jam""",2515-110,"10 minutes, 49 seconds",1,"""Squeaky Boots""",Sherm Cohen,Aaron Springer,,,,8:00 pm,2.40,"['Sherm Cohen', 'Aaron Springer', 'Peter Burns']","SpongeBob SquarePants, Sandy Cheeks, Gary the Snail, Patrick Star, Jellyfish, Squidward Tentacles, Granny Tentacles, Eugene H. Krabs, Mrs. Puff, Flats the Flounder, Larry the Lobster, Sheldon J. Plankton, Pearl Krabs, Incidentals, Lady fish with parasol, Mr. Doodles",Sandy's Rocket
"September 17, 1999",Fred Miller,,1999,Derek Drymon,8b,,,,"""Nature Pants""","""Sandy's Rocket""",2515-102,"10 minutes, 49 seconds",1,"""Sandy's Rocket""",Steve Fonti,Chris Mitchell,,,,8:13 pm,2.40,"['Steve Fonti', 'Chris Mitchell', 'Doug Lawrence']","Eugene H. Krabs, Pearl Krabs, Squeaky boots, SpongeBob SquarePants, Squidward Tentacles, Money, Gary the Snail, Cindy, Incidentals, Fred, Incidental 2, Incidental 3, Steven, John, Tom, Incidental 7, Incidental 8, Incidental 9, Incidental 10, Incidental 11, Incidental 18, Incidental 21",Squeaky Boots
"September 11, 1999",Sean Dempsey,,1999,Derek Drymon,9a,,,,"""Opposite Day""","""Squeaky Boots""",2515-120,"10 minutes, 47 seconds",1,"""Opposite Day""",Paul Tibbitt,Mark O'Hare,,,,10:00 am,2.54,"['Paul Tibbitt', ""Mark O'Hare"", 'Peter Burns']","SpongeBob SquarePants, JellyBob, Jellyfish, Sea urchins, Eugene H. Krabs, Fire fish, Patrick Star, Squidward Tentacles, Sandy Cheeks, Gary the Snail",Nature Pants
"September 11, 1999",Tom Yasumi,,1999,Derek Drymon,9b,,,,"""Culture Shock""","""Nature Pants""",2515-112,"10 minutes, 47 seconds",1,"""Nature Pants""",Chuck Klein,Jay Lender,,,,10:15 am,2.54,"['Chuck Klein', 'Jay Lender', 'Doug Lawrence']","Scallops and clams, Squidward Tentacles, SpongeBob SquarePants, Patrick Star, Seahorse, Incidentals, Incidental 49A, Shelley, Gary the Snail",Opposite Day
"September 18, 1999",Edgar Larrazábal,,1999,Derek Drymon,10a,Sirena Irwin as Margaret SquarePants,,,"""F.U.N.""","""Opposite Day""",2515-122,"10 minutes, 47 seconds",1,"""F.U.N.""",Paul Tibbitt,Mark O'Hare,,,,10:00 am,2.41,"['Paul Tibbitt', ""Mark O'Hare"", 'Doug Lawrence']","SpongeBob SquarePants, Squidward Tentacles, Eugene H. Krabs, Clams, Pearl Krabs, Bubble hippo, Margaret SquarePants, Harold SquarePants, Gary the Snail, Sheldon J. Plankton, Patrick Star, Sandy Cheeks, Incidentals, Steven, John, Tom, Incidental 18, Incidental 95, ""F"" incidentals, Incidental F1, Incidental F2, Incidental F3, Incidental F4, Incidental F5, Incidental F6, Incidental F7, Incidental F8, Incidental F9, Incidental F10, Incidental F11, Incidental F12, Incidental F13, Incidental F14, Incidental F15, Incidental F16, Eugene, Incidental F18, Incidental F19, Incidental F20, Incidental F21, Incidental F22, Incidental F23, Incidental F24",Culture Shock
"September 18, 1999",Fred Miller,,1999,Derek Drymon,10b,,,,"""MuscleBob BuffPants""","""Culture Shock""",2515-121,11 minutes,1,"""Culture Shock""",Sherm Cohen,Aaron Springer,,,,10:15 am,2.41,"['Sherm Cohen', 'Aaron Springer', 'Peter Burns']","French Narrator, Eugene H. Krabs, SpongeBob SquarePants, Squidward Tentacles, Male cowfish, Female cowfish, Sea urchins, Karen Plankton, Jellyfish, Sheldon J. Plankton, Scallops and clams, Bubble Bass, City crowds, Incidentals, Fred, Incidental 2, Incidental 3, Steven, John, Tom, Incidental 7, Incidental 8, Incidental 10, Priscilla, Incidental 13, Carol, Incidental 23, Incidental 27, Incidental 31, Incidental 34, Harold, Incidental 42, Judy, Incidental 48, Man anchovy, Woman anchovy, Police fish, ""Incidental city crowd"" incidentals, Incidental city crowd 1, Incidental city crowd 2, Incidental city crowd 3",F.U.N.
"October 2, 1999",Edgar Larrazábal,,1999,Derek Drymon,11a,,,,"""Squidward the Unfriendly Ghost""","""F.U.N.""",2515-123,11 minutes,1,"""Squidward the Unfriendly Ghost""","Ennio Torresan, Jr.",Erik Wiese,,,,10:00 am,2.61,"['Ennio Torresan, Jr.', 'Erik Wiese', 'Doug Lawrence']","SpongeBob SquarePants, Sandy Cheeks, Jellyfish, Gary the Snail, Shark nerd, Squidward Tentacles, Eugene H. Krabs, Larry the Lobster, Sports guy, Incidentals, Tom, Incidental 18, Incidental 20, Incidental 21, Carol, Incidental 30, Incidental 24, Incidental 24B, Incidental 24C, Incidental 24D, Incidental 24E, Incidental 24F, Incidental 24Q, Don the Whale, Incidental 35, Tuck Tucker, Scooter, Scooter, Incidental 41, Judy, Sadie, Measuring fish inc, ""Crowd"" incidentals, Crowd 1, Crowd 2, Crowd 3, Crowd, Crowd, Crowd, Mrs. Krabs, Pearl Krabs",MuscleBob BuffPants
"October 2, 1999",Fred Miller,,1999,Derek Drymon,11b,,,,"""The Chaperone""","""MuscleBob BuffPants""",2515-115,11 minutes,1,"""MuscleBob BuffPants""",Sherm Cohen,Aaron Springer,,,,10:15 am,2.61,"['Sherm Cohen', 'Aaron Springer', 'Peter Burns']","Squidward Tentacles, Squidward's bonsai, SpongeBob SquarePants, Patrick Star, Flying Dutchman, Sandy Cheeks, Eugene H. Krabs, Incidentals, Fred, Incidental 2, Incidental 3, John, Incidental 7, Incidental 8, Incidental 9, Incidental 14, Carol, Incidental 23, Incidental 27, Incidental 30s, Incidental 31, Incidental 62, Seagulls",Squidward the Unfriendly Ghost
"February 12, 2000",Sean Dempsey,,1999,Derek Drymon,12a,,,,"""Employee of the Month""","""Squidward the Unfriendly Ghost""",2515-113,11 minutes,1,"""Employee of the Month""",Sherm Cohen,Aaron Springer,,,,8:00 pm,3.23,"['Sherm Cohen', 'Aaron Springer', 'Peter Burns']","SpongeBob SquarePants, Sponge dummy, Pearl Krabs, Eugene H. Krabs, Squidward Tentacles, Gary the Snail, Patrick Star, Margie Star, Fish on magazine, Octavius Rex, Incidentals, Fred, Incidental 1B, Clint, Incidental 25, Joe, Incidental 60, ""Teen"" incidentals, Billy Fishkins, Teen 1A, Bryan Flounder, Teen 2A, Teen 3, Teen 3A, Billy Fishkin, Teen 4A, Teen 5, Teen 5A, Teen 6, Teen 6A, Teen 6B, Teen 7, Teen 8, Teen 9, Teen 10, Judy, Teen 12, Teen 13, Teen 14, Teen 15, Teen B1, Teen B6, Football player, Norman Rockbass",The Chaperone
"February 12, 2000",Sean Dempsey,,1999,Derek Drymon,12b,,,,"""Scaredy Pants""","""The Chaperone""",2515-125,11 minutes,1,"""The Chaperone""",Paul Tibbitt,"[""Mark O'Hare"", 'Ennio Torresan, Jr.', 'Erik Wiese']",,,,8:15 pm,3.23,"['Paul Tibbitt', 'Doug Lawrence']","Squidward Tentacles, SpongeBob SquarePants, Eugene H. Krabs, Employee of the Month SpongeBobs, Gary the Snail, Incidentals, Incidental 15, Incidental 27, Incidental 30, Incidental 41, Incidental 42, Billy",Employee of the Month
"October 28, 1999",Sean Dempsey,,1999,Derek Drymon,13a,"['Brian Doyle-Murray as Flying Dutchman', 'The Ghastly Ones as musical performer of ""SpongeBob ScaredyPants""', 'Sara Paxton as the Witch, Mummy', 'Camryn Walling as Kid, Pumpkin']",,,"""I Was a Teenage Gary""","""Employee of the Month""",2515-109,11 minutes,1,"""I Was a Teenage Gary""",Paul Tibbitt,Mark O'Hare,,,,8:00 pm,2.68,"['Paul Tibbitt', 'Peter Burns']","French Narrator, Incidentals, Incidental 41, Incidental 42, Incidental 43, Incidental 44, Incidental 45, Incidental 46, Incidental 51, Incidental 52, Incidental 53, Incidental 56, SpongeBob SquarePants, Eugene H. Krabs, Squidward Tentacles, Kid, Mom, Dad, Homeowner, Mrs. Puff, Gary the Snail, Patrick Star, Sandy Cheeks, Pearl Krabs, Jellyfish, Flying Dutchman",Scaredy Pants
"October 28, 1999",Edgar Larrazábal,,1999,Derek Drymon,13b,,,,"""SB-129""","""Scaredy Pants""",2515-117,11 minutes,1,"""Scaredy Pants""",Steve Fonti,Chris Mitchell,,,,8:15 pm,2.68,"['Steve Fonti', 'Chris Mitchell', 'Doug Lawrence']","Gary the Snail, SpongeBob SquarePants, Patrick Star, Squidward Tentacles, Incidentals, Incidental 35, Snail doctor, Clam, King Neptune",I Was a Teenage Gary
"December 31, 1999",Tom Yasumi,,1999,Derek Drymon,14a,,,,"""Karate Choppers""","""I Was a Teenage Gary""",2515-129,"11 minutes, 32 seconds",1,"""Karate Choppers""",Aaron Springer,Erik Wiese,,,,8:00 pm,1.52,"['Aaron Springer', 'Erik Wiese', 'Doug Lawrence']","French Narrator, Squidward Tentacles, SpongeBob SquarePants, Patrick Star, SpongeTron, 486 SpongeTron clones, Incidentals, Fish guy, PatTron, Nautilus, Primitive Sponge, Primitive Star, jellyfish, Jay Lender, Jay Lender, The Alone Group",SB-129
"December 31, 1999",Tom Yasumi,,1999,Derek Drymon,14b,,,,"""Sleepy Time""","""SB-129""",2515-135,11 minutes,1,"""SB-129""",Aaron Springer,Erik Wiese,,,,8:15 pm,1.52,"['Aaron Springer', 'Erik Wiese', 'Merriwether Williams']","SpongeBob SquarePants, Sandy Cheeks, Squidward Tentacles, Eugene H. Krabs, Volcano Sauce drop, Tom Kenny, Incidentals, Fred, John, Incidental 7, Incidental 8, Incidental 14, Carol, Incidental 27, Incidental 30, Incidental 31, Incidental 34, Harold, Tuck Tucker, Scooter, Incidental 41, Incidental 42, Judy, Incidental 46, Incidental 48, Incidental 60, Incidental 70, Incidental 81, Old Man Walker, Incidental 85",Karate Choppers
"January 17, 2000",Edgar Larrazábal,,1999,Derek Drymon,15a,,,,"""Suds""","""Karate Choppers""",2515-141,"11 minutes, 12 seconds",1,"""Suds""","['Paul Tibbitt', 'Ennio Torresan, Jr.']","['Paul Tibbitt', 'Ennio Torresan, Jr.']",,,,8:00 pm,2.89,"['Paul Tibbitt', 'Ennio Torresan, Jr.', 'Doug Lawrence']","SpongeBob SquarePants, Gary the Snail, Emily Dickinson, Patrick Star, Squidward Tentacles, King, Sandy Cheeks, Parakeet, Pearl Krabs, Eugene H. Krabs, Moby Dollar, King Neptune, Sheldon J. Plankton, Karen Plankton, Incidentals, Fred, Tuck Tucker, Harold, Harris, Old Man Jenkins, Incidental 93, Incidental 120, Incidental 121, Incidental 122, Incidental 123, Incidental 124, Incidental 125, Incidental 126, Incidental 127, Incidental 128, Incidental 129, Incidental 130, Incidental 131, Incidental 132, Incidental 133, Incidental 134, Incidental 135, Incidental 136, Incidental 137",Sleepy Time
"January 17, 2000",Edgar Larrazábal,,1999,Derek Drymon,15b,,,,"""Valentine's Day""","""Sleepy Time""",2515-132,"11 minutes, 34 seconds",1,"""Sleepy Time""","['Paul Tibbitt', 'Ennio Torresan, Jr.']","['Paul Tibbitt', 'Ennio Torresan, Jr.']",,,,8:15 pm,2.89,"['Paul Tibbitt', 'Ennio Torresan, Jr.', 'Doug Lawrence']","SpongeBob SquarePants, Gary the Snail, Shelley, Jellyfish, Eugene H. Krabs, Incidentals, Fred, Incidental 23, Incidental 31, Incidental 33, Incidental 35, Incidental 66, Incidental 67, Incidental 116, Sandy Cheeks, Patrick Star, Wild scallops, Hans, Peter Bennett, Guy in shower, Tom Kenny",Suds
"February 14, 2000",Fred Miller,,2000,Derek Drymon,16a,,,,"""The Paper""","""Suds""",2515-128,11 minutes,1,"""The Paper""",Chuck Klein,Jay Lender,,,,8:30 pm,2.75,"['Chuck Klein', 'Jay Lender', 'Merriwether Williams']","SpongeBob SquarePants, Squidward Tentacles, Mrs. Puff, Sheldon J. Plankton, Sandy Cheeks, Patrick Star, Chocolate-eating scallops, Balloon stand fish, Heart man, Kid fish at park, Incidentals, Fred, Incidental 2, Incidental 3, Steven, John, Tom, Incidental 7, Incidental 8, Incidental 9, Priscilla, Incidental 13, Incidental 14, Incidental 16, Incidental 17, Incidental 18, Incidental 20, Carol, Incidental 23, Incidental 27, Incidental 30, Incidental 31, Incidental 34, Scooter, Harold, Incidental 42, Judy, Incidental 46, Sadie, Incidental 48, Incidental 49, Incidental 62, Incidental 63, Billy, Incidental 66, Incidental 68, Incidental 70, Harris, Incidental 92, Incidental 96, Incidental 97, Incidental 98, Incidental 99, Incidental 100, Incidental 101, Incidental 102, Incidental 103, Incidental 104, Frank, Incidental 106, Steve, Dale, Incidental 109, Incidental 110, Incidental 111, Incidental 112, Incidental 113, Incidental 139, Incidental 142, Incidental 143, Incidental 144",Valentine's Day
"February 14, 2000",Fred Miller,,2000,Derek Drymon,16b,,,,"""Arrgh!""","""Valentine's Day""",2515-134,11 minutes,1,"""Valentine's Day""",Chuck Klein,Jay Lender,,,,8:45 pm,2.75,"['Chuck Klein', 'Jay Lender', 'Doug Lawrence']","Squidward Tentacles, SpongeBob SquarePants, Mr. Paper, Gary the Snail, Sea urchins, Lil' Squidward, Incidentals, Fred, Incidental 2, John, Incidental 7, Incidental 14, Incidental 30, Incidental 31, Incidental 33, Tuck Tucker, Scooter, Incidental 41, Incidental 42, Judy, Incidental 49, Incidental 60, Old Man Walker, Incidental 85, Patrick Star",The Paper
"March 15, 2000",Sean Dempsey,,2000,Derek Drymon,17a,Brian Doyle-Murray as Flying Dutchman,,,"""Rock Bottom""","""The Paper""",2515-130,"10 minutes, 42 seconds",1,"""Rock Bottom""",Sherm Cohen,Vincent Waller,,,,8:00 pm,3.08,"['Sherm Cohen', 'Vincent Waller', 'Merriwether Williams']","Sea urchins, Eugene H. Krabs, SpongeBob SquarePants, Patrick Star, Flying Dutchman, Incidentals, Fred, Jellyfish, Merriwether Williams, Merriwether Williams, Carolyn Lawrence, Jill Talley, Lori Alan",Arrgh!
"March 15, 2000",Tom Yasumi,,2000,Derek Drymon,17b,,,,"""Texas""","""Arrgh!""",2515-138,11 minutes,1,"""Arrgh!""","['Paul Tibbitt', 'Ennio Torresan']","['Paul Tibbitt (uncredited)', 'Ennio Torresan (uncredited)']",,,,8:15 pm,3.08,"['Paul Tibbitt', 'Ennio Torresan', 'David Fain']","SpongeBob SquarePants, Patrick Star, Incidentals, Incidental 34, Bus driver, Incidental 64, Incidental 200, Incidental 201, Incidental 202, Incidental 204, Incidental 205, Incidental 206, Bert, Jojo, Incidental 214, Incidental 220, Incidental 221, Incidental 222, Soil, Three baby fish, Sea urchins, Grandpa SquarePants, Gary the Snail",Rock Bottom
"March 22, 2000",Sean Dempsey,,2000,Derek Drymon,18a,Junior Brown as musical performer of Texas,,,"""Walking Small""","""Rock Bottom""",2515-139,11 minutes,1,"""Walking Small""",Sherm Cohen,Vincent Waller,,,,8:00 pm,3.10,"['Sherm Cohen', 'Vincent Waller', 'David Fain']","SpongeBob SquarePants, Patrick Star, Sandy Cheeks, Jellyfish, Scallops and clams, Eugene H. Krabs, Squidward Tentacles, Mrs. Puff, Farley the Flatfish, Pearl Krabs, Larry the Lobster, Incidentals, John, Incidental 11, Priscilla, Incidental 16, Incidental 18, Carol, Incidental 23, Incidental 30, Incidental 31, Don the Whale, Scooter, Incidental 42",Texas
"March 22, 2000",Sean Dempsey,,2000,Derek Drymon,18b,Camryn Walling as Kid/Boy Fish,,,"""Fools in April""","""Texas""",2515-133,11 minutes,1,"""Texas""",Aaron Springer,Erik Wiese,,,,8:15 pm,3.10,"['Aaron Springer', 'Erik Wiese', 'Doug Lawrence']","Sheldon J. Plankton, SpongeBob SquarePants, Incidentals, Fred, Incidental 2, Incidental 3, John, Tom, Incidental 8, Incidental 10, Priscilla, Incidental 14, Incidental 16, Incidental 17, Incidental 18, Carol, Incidental 23, Incidental 30, Incidental 31, Don the Whale, Incidental 35, Harold, Tuck Tucker, Scooter, Scooter, Incidental 39, Harold, Incidental 41, Incidental 42, Judy, Incidental 46, Sadie, Incidental 48, Incidental 49, Incidental 60, Incidental 61, Incidental 62, Incidental 63, Incidental 64, Billy, Incidental 67, Incidental 68, Incidental 69, Incidental 70, Incidental 71, Harris, Incidental 85, Incidental 92, Incidental 96, Incidental 97, Incidental 98, Incidental 100, Incidental 103, Incidental 106, Steve, Frank, Eel, Octopus vendor, Larry the Lobster, Little girl, Goo Lagoon",Walking Small
"April 1, 2000",Fred Miller,,2000,Derek Drymon,19a,,,,"""Neptune's Spatula""","""Walking Small""",2515-140,11 minutes,1,"""Neptune's Spatula""",Aaron Springer,Erik Wiese,,,,6:30 pm,1.78,"['Aaron Springer', 'Erik Wiese', 'Merriwether Williams']","Gary the Snail, SpongeBob SquarePants, Squidward Tentacles, Eugene H. Krabs, Incidentals, Fred, Incidental 3, John, Tom, Incidental 9, Incidental 14, Incidental 21, Carol, Incidental 23, Incidental 30, Incidental 31, Incidental 35, Harold, Scooter, Harold, Incidental 41, Incidental 42, Judy, Sadie, Incidental 48, Incidental 49, Incidental 60, Incidental 64, Billy, Incidental 66, Incidental 67, Incidental 70, Incidental 71, Incidental 91, Incidental 93, Bubble Bass, Sea urchins, Patrick Star, Mrs. Tentacles, Sandy Cheeks",Fools in April
